DATE,R-VALUE
Thu Mar 19 2020,3.01
Fri Mar 20 2020,2.75
Sat Mar 21 2020,2.58
Sun Mar 22 2020,2.39
Mon Mar 23 2020,2.28
Tue Mar 24 2020,2
Wed Mar 25 2020,1.9
Thu Mar 26 2020,1.88
Fri Mar 27 2020,1.81
Sat Mar 28 2020,1.76
Sun Mar 29 2020,1.69
Mon Mar 30 2020,1.55
Tue Mar 31 2020,1.52
Wed Apr 01 2020,1.55
Thu Apr 02 2020,1.51
Fri Apr 03 2020,1.54
Sat Apr 04 2020,1.48
Sun Apr 05 2020,1.46
Mon Apr 06 2020,1.39
Tue Apr 07 2020,1.36
Wed Apr 08 2020,1.35
Thu Apr 09 2020,1.32
Fri Apr 10 2020,1.25
Sat Apr 11 2020,1.21
Sun Apr 12 2020,1.16
Mon Apr 13 2020,1.16
Tue Apr 14 2020,1.17
Wed Apr 15 2020,1.12
Thu Apr 16 2020,1.11
Fri Apr 17 2020,1.14
Sat Apr 18 2020,1.14
Sun Apr 19 2020,1.14
Mon Apr 20 2020,1.18
Tue Apr 21 2020,1.16
Wed Apr 22 2020,1.11
Thu Apr 23 2020,1.1
Fri Apr 24 2020,1.08
Sat Apr 25 2020,1.04
Sun Apr 26 2020,0.99
Mon Apr 27 2020,0.93
Tue Apr 28 2020,0.9
Wed Apr 29 2020,0.89
Thu Apr 30 2020,0.85
Fri May 01 2020,0.81
Sat May 02 2020,0.84
Sun May 03 2020,0.87
Mon May 04 2020,0.88
Tue May 05 2020,0.86
Wed May 06 2020,0.89
Thu May 07 2020,0.91
Fri May 08 2020,0.94
Sat May 09 2020,0.92
Sun May 10 2020,0.89
Mon May 11 2020,0.91
Tue May 12 2020,0.92
Wed May 13 2020,0.9
Thu May 14 2020,0.89
Fri May 15 2020,0.89
Sat May 16 2020,0.9
Sun May 17 2020,0.95
Mon May 18 2020,0.95
Tue May 19 2020,0.98
Wed May 20 2020,1.01
Thu May 21 2020,1.03
Fri May 22 2020,1.04
Sat May 23 2020,1.07
Sun May 24 2020,1.08
Mon May 25 2020,1.1
Tue May 26 2020,1.03
Wed May 27 2020,0.99
Thu May 28 2020,0.98
Fri May 29 2020,0.95
Sat May 30 2020,0.91
Sun May 31 2020,0.87
Mon Jun 01 2020,0.89
Tue Jun 02 2020,0.98
Wed Jun 03 2020,1.02
Thu Jun 04 2020,1.01
Fri Jun 05 2020,1.02
Sat Jun 06 2020,1.05
Sun Jun 07 2020,1
Mon Jun 08 2020,0.94
Tue Jun 09 2020,0.85
Wed Jun 10 2020,0.83
Thu Jun 11 2020,0.81
Fri Jun 12 2020,0.77
Sat Jun 13 2020,0.73
Sun Jun 14 2020,0.77
Mon Jun 15 2020,0.77
Tue Jun 16 2020,0.79
Wed Jun 17 2020,0.8
Thu Jun 18 2020,0.82
Fri Jun 19 2020,0.87
Sat Jun 20 2020,0.89
Sun Jun 21 2020,0.9
Mon Jun 22 2020,0.92
Tue Jun 23 2020,0.98
Wed Jun 24 2020,0.97
Thu Jun 25 2020,0.97
Fri Jun 26 2020,0.94
Sat Jun 27 2020,0.91
Sun Jun 28 2020,0.92
Mon Jun 29 2020,1.05
Tue Jun 30 2020,1.01
